동조하다,남의 주장에 자신의 의견을 일치시키거나 보조를 맞춤
복원하다,원래대로 회복하다
봉쇄하다,굳게 막아 버리거나 잠그다
왜곡,사실과 다르게 해석하거나 그릇되게 함
위축되다,어떤 힘에 눌려 졸아들거 기를 펴지 못하게 되다
정체성,변하지 아니하는 존재의 본질을 깨닫는 성질
지향하다,어떤 목표로 뜻이 쏠리어 향하다
편협하다,한쪽으로 치우쳐 도랑이 좁고 너그럽지 못함
고립되다,다른 사람의 도움을 받지 못하여 떨어짐
공급하다,요구나 필요에 따라 물품 따위를 제공함
불황,경제 활동이 일반적으로 침체되는 상태
수요,어떤 재화나 용역을 일정한 가격으로 사려는 욕구
열풍,매우 세차게 일어나는 기운이나 기세
이타적,자기의 이익보다는 다른 이의 이익을 더 꾀하는 것
할당하다,몫을 갈라 나눔
개입하다,자신과 직접적인 관계가 없는 일에 끼어듦
개혁하다,제도나 기구 따위를 새롭에 뜯어 고침
권익,권리와 그에 따르는 이익
규제하다,규칙으로 정함
부합하다,서로 맞대어 붙임
사각지대,관심이나 영향이 미치지 못하는 구역
추구하다,목적을 이룰 때까지 뒤쫓아 구함
타파하다,부정적인 것을 깨뜨려 버림
검증하다,검사하여 증명함
결핍,있어야 할 것이 없어지거나 모자람
선별하다,가려서 따로 나눔
섭취하다,생물체가 양분 따위를 몸속에 빨아들임
초래하다,일의 결과로서 어떤 현상이 생겨나게 함
취약하다,무르고 약함
가속화하다,속도를 더하게 됨
개선하다,고쳐 더 좋게 만듦
공존하다,서로 도와서 함께 존재함
관측하다,자연현상을 관찰하여 측정함
기여하다,도움이 되도록 이바지함
변모하다,모양이나 모습이 달라지거나 바뀜
비옥하다,땅이 기름짐
유출하다,밖으로 흘러 나가거나 흘려 내보냄
작용하다,어떠한 현상을 일으키거나 영향을 미침
추정하다,미루어 생각하여 판정함
측정하다,같은 종류의 다른 양의 크기를 잼
독자적,남에게 기대지 아니하고 혼자서 하는 것
방지하다,어떤 일이나 현상이 일어나지 못하게 막음
보완하다,모자라거나 부족한 것을 보충하여 완전하게 함
소요되다,필요로 되거나 요구됨
실용적,실제로 쓰기에 알맞은 것
융합하다,다른 종류의 것이 녹아서 서로 구별이 없게 하나로 합해짐
점진적,조금씩 앞으로 나아가는 것
조작하다,어떤 일을 사실인 듯이 꾸며 만듦
참신하다,새롭고 산뜻하다
창출하다,전에 없던 것을 처음으로 생각하여 지어내거나 만들어 내다.
구사하다,"말이나 수사법, 기교, 수단 따위를 능숙하게 마음대로 부려 쓰다."
구상하다,표현 형식 따위에 대하여 생각을 정리하다
발굴하다,세상에 널리 알려지지 않거나 뛰어난 것을 찾아 밝혀냄
복제하다,본디의 것과 똑같은 것을 만들다
재현하다,다시 나타남
저명하다,세상에 이름이 널리 드러나 있다
청아하다,속된 티가 없이 맑고 아름답다.
호평,좋게 평함
획일화,모두가 한결같아서 다름이 없게 됨
난감하다,이렇게 하기도 저렇게 하기도 어려워 처지가 매우 딱하다.
분개하다,몹시 분하게 여김.
새삼스럽다,이미 알고 있는 사실에 대하여 느껴지는 감정이 갑자기 새로운 데가 있다.
역겹다,역정이 나거나 속에 거슬리게 싫다.
역정,몹시 언짢거나 못마땅하여서 내는 성.
흡족,조금도 모자람이 없을 정도로 넉넉하여 만족함.
겸허,스스로 자신을 낮추고 비우는 태도가 있음.
경솔하다,말이나 행동이 조심성 없이 가볍다.
속물적,교양이 없거나 식견이 좁고 세속적인 일에만 신경을 쓰는 것.
영민하다,매우 영특하고 민첩하다.
유별나다,보통의 것과 아주 다르다
진취적,적극적으로 나아가 일을 이룩하는 것
탁월하다,남보다 두드러지게 뛰어나다.
고려하다,어떤 일을 하는 데 여러 가지 상황이나 조건을 신중하게 생각하다.
방심하다,마음을 다잡지 아니하고 풀어 놓아 버리다
분주하다,몹시 바쁘게 뛰어다니다.
악행,악독한 행위.
직설적,바른대로 말하는 것
할애하다,아깝게 여기지 아니하고 선뜻 내어 주다
단절하다,유대나 연관 관계를 끊다.
불청객,오라고 청하지 않았는데도 스스로 찾아온 손님.
연민,불쌍하고 가련하게 여김.
인색하다,재물을 아끼는 태도가 몹시 지나치다.
적대시하다,적으로 여겨 봄.
표출하다,겉으로 나타냄.
흠모,기쁜 마음으로 공경하며 사모함.
경이롭다,놀랍고 신기한 데가 있다.
고요하다,조용하고 잠잠한 상태.
낭만적,감미롭고 감상적인 것.
우호적,개인끼리나 나라끼리 서로 사이가 좋은 것.
운치,고상하고 우아한 멋
횡포,제멋대로 굴며 몹시 난폭함.
결속,뜻이 같은 사람끼리 서로 단결함.
고역,몹시 힘들고 고되어 견디기 어려운 일.
골몰하다,다른 생각을 할 여유도 없이 한 가지 일에만 파묻히다.
분배하다,생산 과정에 참여한 개개인이 생산물을 사회적 법칙에 따라서 나누다
생계,살림을 살아 나갈 방도
선입견,어떤 대상에 대하여 이미 마음속에 가지고 있는 고정적인 관념이나 관점.
외면하다,"현실, 사실, 진리 등을 인정하지 않고 무시하다."
허위,진실이 아닌 것을 진실인 것처럼 꾸민 것.
